model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DCS-2102,A,v1.06,ftp://files.dlink.com.au/products/DCS-2102/REV_A/Firmware/Firmware_v1.06/DCS-2102_Firmware_1.06_patch01_7712.zip,6886635,1367518020.0,ed21850952546d9f9ee7add963b0062e867af5d5,c5a0bb15c69d9f2099755ac5b9aabf70
DCS-2103,A,,ftp://files.dlink.com.au/products/DCS-2103/REV_A/Firmware/Firmware_1.21.00/DCS-2103_A1_FW_V1.21.00.bin,13904656,1421658660.0,1e56229f5a163ec3ca4babaf417705f18caaa41d,5e8725649a72e558f01a6c3fe56a3986
DCS-2120,A,v1.11,ftp://files.dlink.com.au/products/DCS-2120/REV_A/Firmware/Firmware_1.03c/DCS-2120_Utility_&_fw_1.03c.zip,3386895,1190207820.0,417eec7a9a51f08514fd0506a06d32f44c96e507,f91d1c2aa3d2d075bc28da20d54e7b7d
DCS-2121,A,v1.06,ftp://files.dlink.com.au/products/DCS-2121/REV_A/Firmware/Firmware_v1.06/DCS-2102_Firmware_1.06_patch01_7712.zip,6886635,1367518020.0,ed21850952546d9f9ee7add963b0062e867af5d5,c5a0bb15c69d9f2099755ac5b9aabf70
DCS-2121,A,v1.05,ftp://files.dlink.com.au/products/DCS-2121/REV_A/Firmware/Firmware_v1.05/DCS-2121_A2_FW_1.05.zip,6627286,1294324440.0,d4bdaa84896897c5f8ece44edb2f0d8b88b3714c,e730d39232a8e328486c2174fa84bbcc
DCS-2121,A,v1.04,ftp://files.dlink.com.au/products/DCS-2121/REV_A/Firmware/Firmware_v1.04/DCS-2102_DCS-2121_FW_104.zip,6529266,1265207760.0,8d60d58659cfe6708141d0049f0c76b06ce380a6,35718562fbd855c4115fcf7b2e751833
DCS-2130,A,,ftp://files.dlink.com.au/products/DCS-2130/REV_A/Firmware/Firmware_1.21.00/DCS-2130_A1_FW_V1.21.00.bin,14499088,1421658720.0,bab33d41d6436282c0e3414b54a9a9d346ad7a54,e400557cbcec88c03e838780ea25395d
DCS-2132L,B,V2.11DT.00,ftp://files.dlink.com.au/products/DCS-2132L/REV_B/Firmware/V2.11DT.00/DCS-2132L_B1_FW_V2.11DT.00.bin,15335696,1444930740.0,40cf241001fa098bb6bcab5161e5bae50e9f21c9,254af71f06498239292d10040785b84b
DCS-2132L,B,V2.10.11,ftp://files.dlink.com.au/products/DCS-2132L/REV_B/Firmware/V2.10.11/DCS-2132L_B1_FW_V2.10.11.bin,15401232,1444929540.0,c0a46aeac2a052dfc490ce466f88406b86bea0ef,670c3cf22210f59aefd796dc9b08ad42
DCS-2136L,A,,ftp://files.dlink.com.au/products/DCS-2136L/REV_A/Firmware/DCS-2136L_A1_FW_V1.03.00.bin,14993232,1444929720.0,d1bf7e9c06c2eb8b3ad37712610d603197f9dc6c,ab54530300e6f215a7b45dab31f4cede
DCS-2210,A,,ftp://files.dlink.com.au/products/DCS-2210/REV_A/Firmware/Firmware_1.24.00/DCS-2210_A1_V1.24.00.bin,13596432,1444927680.0,7d15badde572b6ba2be13fa1700ccb0d477b93e6,42717be3b9c678ef619c90b60e8a8a9e
DCS-2210,A,,ftp://files.dlink.com.au/products/DCS-2210/REV_A/Firmware/Firmware_1.20.00/DCS-2210_A1_FW_V1.20.00.bin,12915984,1369921680.0,4f372dee3880504e25d5b2841b4c0dd3e78c3d7e,9e2ce8d9f6884da8c2c1f5a90df3954b
DCS-2210,A,,ftp://files.dlink.com.au/products/DCS-2210/REV_A/Firmware/Firmware_1.10.02/DCS-2210_V1.10.02.bin,14079248,1352116020.0,8cbd91175070ab29201da86258c3d09bf1bb1d67,e4b50003fd5540bd4f7520a9d613fd4c
DCS-2310L,A,,ftp://files.dlink.com.au/products/DCS-2310L/REV_A/Firmware/DCS-2310L_A1_FW_V1.07.00.bin,14176592,1444930500.0,d5db7d49455d90376441bc17150f32709f8252f0,8271471b4ad503f91d986e32428760da
DCS-2330L,A,V1.12.00,ftp://files.dlink.com.au/products/DCS-2330L/REV_A/Firmware/V1.12.00/DCS-2330L_A1_FW_V1.12.00.bin,15663376,1444930500.0,838a7989f2bba739ff72c5801e5aa42ce2944ebf,05425dc2eba366f678114e25f3896046
DCS-2330L,A,V1.10.07,ftp://files.dlink.com.au/products/DCS-2330L/REV_A/Firmware/V1.10.07/DCS-2330L_A1_FW_V1.10.07.bin,15597840,1439460360.0,8a09d495c4b157d4f0767138458c200bdd68e5fd,0d9d5a65e09751ae027d8bea3b1d2558
DCS-2332L,A,,ftp://files.dlink.com.au/products/DCS-2332L/REV_A/Firmware/DCS-2332L_A1_FW_V1.07.00.bin,14766928,1444930560.0,77ae7d68e575068fe64808170b18d7cffda7fca2,98fa4814e8a8b540ced42da2c4cd8326
DCS-3010,A,v1.12.18,ftp://files.dlink.com.au/products/DCS-3010/REV_A/Firmware/Firmware_v1.12.18/DCS-3010_v1.12.18_20151008164809.bin,18758868,1445957040.0,770c47bf22a48cbafb5462310632fd2444fbebe2,fe5597d736240db76beca9b3bb81bd83
DCS-3010,A,v1.11.25,ftp://files.dlink.com.au/products/DCS-3010/REV_A/Firmware/Firmware_v1.11.25/DCS-3010_v1.11.25_ww.bin,17947874,1399569540.0,7273938d0e570590fb9beff1aa1c53064a156f4e,578ff98d1ef7ac73765589106a2725df
DCS-3110,A,v1.02,ftp://files.dlink.com.au/products/DCS-3110/REV_A/Firmware/Firmware_v1.02/DCS-3110_FW_v1.02.zip,4703262,1288171020.0,eaea15e33c931c78b66105d256964994aaceedd8,e4643aa10ecc5c504048b4e3078b5bc9
DCS-3112,A,,ftp://files.dlink.com.au/products/DCS-3112/REV_A/Firmware/Firmware_1.15/DCS-3112_A1_FW_V1.15.00.bin,14379280,1460027040.0,158a6b53fa7fd830f52265dfce61ca8996633e94,4104df3ab26d6598059b36ab811bd9f3
