model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DCM-202,ALL,2.0003D2,ftp://FTP2.DLINK.COM/PRODUCTS/DCM-202/REVA/DCM-202_FIRMWARE_2.0003D2.ZIP,924451,1373500800.0,e1409f6553af3c63aeae913887bac3965920f5b4,94731665517f00451c97f7632503c78f
DCS-1000,A,1.07,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.07.EXE,152064,1373500800.0,20b2d8fccc14dfb5de143501fb39441ed457bcdd,d004be850155bd814e948821a0d9677e
DCS-1000,A,1.29,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.29.ZIP,171410,1373500800.0,71c683ca4fa943fb98758c238b0da57689af0a34,2a2ef2b3fcc8302018a5444c0d3befec
DCS-1000,A,1.26,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.26.ZIP,146703,1373500800.0,7ba9217505f70ccde0fe563b68d30bcf63033f4a,a54f3f7073a815460117008f12cb8a06
DCS-1000,A,1.30,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.30.ZIP,171411,1373500800.0,568ddd4490cefb73f95c2f1ce381858ffe21e0a4,6e842022bfb5af995b8af1e4bf09c1da
DCS-1000,A,1.25,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.25.ZIP,122225,1373500800.0,8ebb1b551b46810a7c79aaddc269cc5d05b2955e,fd03534259b1364cfe3ac4537a9edf3b
DCS-1000,A,1.27,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000/REVA/DCS-1000_FIRMWARE_1.27.ZIP,325940,1373500800.0,a175c5720ff55cf38b5d8917ec2df7e309ee484c,900bb15c3b1bc648fd26028c50e6544a
DCS-1000W,A,1.30,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000W/REVA/DCS-1000W_FIRMWARE_1.30.ZIP,183218,1373500800.0,51fcae1424df3f616e665b23506ceeca40a74101,eada2ee44d7f7315d45978164dcf6546
DCS-1000W,A,1.26,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000W/REVA/DCS-1000W_FIRMWARE_1.26.EXE,192512,1373500800.0,6509e2d0fe4cbe485b02fd0a107d65fada2a29f1,4122d92e0ac41899eb7f67279a6da0ae
DCS-1000W,A,1.25,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000W/REVA/DCS-1000W_FIRMWARE_1.25.ZIP,130615,1373500800.0,c2bac90bc224c1ed51cc4ff649578e3798fe761e,aea9075dee977cd13bd29b78d634e4c7
DCS-1000W,A,1.29,ftp://ftp2.dlink.com/PRODUCTS/DCS-1000W/REVA/DCS-1000W_FIRMWARE_1.29.ZIP,183196,1373500800.0,71ff8089a84ac395c200624824a77b3df9d20f5a,8c5e565370c30c87fb2a05f931c25a1a
DCS-1100,A,1.04.4520,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1100/REVA/DCS-1100(L)_DCS-1130(L)_REVA_FIRMWARE_1.04.4520.ZIP,6877726,1409011200.0,529cb1f449d797fced681433fa972a5e8d7e2b23,d257dd0d384719d637b9934baead9f9e
DCS-1100,A,1.01,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1110/REVA/DCS-1110_FIRMWARE_1.01.ZIP,3973899,1373500800.0,75e3105dbd10606afcf144d32a7b79887a1220ae,8c4f7cfa5e8eeb783cc7a85669499ce0
DCS-1100,A,1.06,ftp://ftp2.dlink.com/PRODUCTS/DCS-1100/REVA/DCS-1100_FIRMWARE_1.06_US_8330.ZIP,6955734,1392076800.0,ed270e3de4a6bc062a604b95e45148a28c5cb5a1,8500ba28ec3ab9981c4b586be4f32a28
DCS-1100,A,1.03,ftp://ftp2.dlink.com/PRODUCTS/DCS-1100/REVA/DCS-1100_FIRMWARE_1.03.ZIP,6835982,1379462400.0,c45be7214c44ee39c3f9e8aa2aae0337cb5edf22,35e00e7acec249492a9887a0c91ce213
DCS-1100,A,1.04B7712,ftp://ftp2.dlink.com/PRODUCTS/DCS-1100/REVA/DCS-1100_FIRMWARE_1.04B7712.ZIP,6870565,1373500800.0,377e8a3ad2298106461d49c36d3e23d24c1c567f,83affc0f2425e5331a7929609a6b0c01
DCS-1100,ALL,1.08.8707,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1100/REVA/DCS-1100_REVA_FIRMWARE_1.08.8707.ZIP,7133484,1430697600.0,c10236df6e399932ee1da03d6264afe7572eadb9,429bcc06c8ac00f78f9a1bac7116ca1d
DCS-1110,A,1.01,ftp://ftp2.dlink.com/PRODUCTS/DCS-1110/REVA/DCS-1110_FIRMWARE_1.01.ZIP,3973899,1373500800.0,75e3105dbd10606afcf144d32a7b79887a1220ae,8c4f7cfa5e8eeb783cc7a85669499ce0
DCS-1130,A,1.04B7712,ftp://ftp2.dlink.com/PRODUCTS/DCS-1130/REVA/DCS-1130_FIRMWARE_1.04B7712.ZIP,6870565,1373500800.0,f490926e04fe53df3915315b9d9d5fd455c8a99d,e0a108627093b892d8065e286cf2b9ab
DCS-1130,A,1.04.4520,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1130/REVA/DCS-1130(L)_DCS-1100(L)_REVA_FIRMWARE_1.04.4520.ZIP,6877726,1409011200.0,529cb1f449d797fced681433fa972a5e8d7e2b23,d257dd0d384719d637b9934baead9f9e
DCS-1130,A,1.06,ftp://ftp2.dlink.com/PRODUCTS/DCS-1130/REVA/DCS-1130_FIRMWARE_1.06_US_8330.ZIP,6955734,1392076800.0,ed270e3de4a6bc062a604b95e45148a28c5cb5a1,8500ba28ec3ab9981c4b586be4f32a28
DCS-1130,A,1.08.8707,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1130/REVA/DCS-1130_REVA_FIRMWARE_1.08.8707.ZIP,7133664,1430697600.0,11bdf5d10892aaefc44fb79b56138b3b8df5a4f7,077165d42684f34a3d26900a70ca018b
DCS-1130,A,1.03,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1130/REVA/DCS-1130_FIRMWARE_1.03.ZIP,6835982,1373500800.0,c45be7214c44ee39c3f9e8aa2aae0337cb5edf22,35e00e7acec249492a9887a0c91ce213
DCS-1201,A,1.00.05,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-1201/REVA/DCS-1201_REVA_FIRMWARE_1.00.05.ZIP,14965982,1468865100.0,9bfed8310b3c8f4ae09d25570752caa656cb463d,7c604d249355d1f6bdbb5f9531833c7c
DCS-2000,A,1.08,ftp://ftp2.dlink.com/PRODUCTS/DCS-2000/REVA/DCS-2000_FIRMWARE_1.08.ZIP,1178620,1373500800.0,953b945fe202a59fbf2ae603535e9c7ff81f061c,f6cb2b2d3232c5b935baf34c0a5ebbad
DCS-2000,A,1.07,ftp://ftp2.dlink.com/PRODUCTS/DCS-2000/REVA/DCS-2000_FIRMWARE_1.07.ZIP,1172887,1373500800.0,877b3ce188f230ffe5b2d56acf8ae28ff1bbb025,184f7e60341b105aab21fdf0a20ccd4b
DCS-2000,A,1.06,ftp://ftp2.dlink.com/PRODUCTS/DCS-2000/REVA/DCS-2000_FIRMWARE_1.06.ZIP,1178961,1373500800.0,0490a21cefb9e95ace8faecc3b043a7fff79d42e,8ef441d579ec99abfc8c9d8790861e7e
DCS-2100+,A,1.02,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.02.ZIP,1377207,1373500800.0,a44475f3d8d654c2d279b2cc969af22019a6387a,acaf1d739d9bbca0208bba7cff7f23cd
DCS-2100+,A,1.05,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.05.ZIP,1238377,1373500800.0,ba1b1a777fcf547c784555ea1c5e3cf2aaa73d34,9f25c05f6e797a480047a7d41badaf5f
DCS-2100+,A,1.04,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.04.ZIP,1236598,1373500800.0,65e47031c6e0aa40c44dbc515abd70b4b4e11898,8e8e5423042c2e22d34079a9e117525c
DCS-2100+,A,1.01F,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.01F.ZIP,1194259,1373500800.0,aaa782edb57e3625f0fe0e50383323c3b854d5ce,fe15e25e344eef7c4f7f5d0cf28cc34d
DCS-2100+,A,1.00,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.00.ZIP,1172884,1373500800.0,d9a0f6d4b137d424ff9bbeffabfe1d5171e7887b,fcd629905344a7c409df0f9825426667
DCS-2100+,A,1.01H,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.01H.ZIP,1199177,1373500800.0,4dd8db0900cc4fac7ff0a02354be83efe7a286d2,ecc77a7a4817e69b3c11ba4865d23ce6
DCS-2100+,A,1.06,ftp://ftp2.dlink.com/PRODUCTS/DCS-2100PLUS/REVA/DCS-2100PLUS_FIRMWARE_1.06.ZIP,1245723,1373500800.0,f6762daa9a936d5f7686789db190b6a004908ffb,bf419597577146bbc3b9f76603cb77ec
DCS-2120,A,1.00,ftp://ftp2.dlink.com/PRODUCTS/DCS-2120/REVA/DCS-2120_FIRMWARE_1.00.ZIP,3150949,1379894400.0,4bd73dd221c213f21a41a76df88b7ddf317d2fbb,28ea970e5bb9d4a2a5363a47c0a64d16
DCS-2120,A,1.03,ftp://ftp2.dlink.com/PRODUCTS/DCS-2120/REVA/DCS-2120_FIRMWARE_1.03.ZIP,3260162,1379894400.0,f9b9209877a1ac7f055aaa33bff2956065633d18,2cbec21d2ef33a3c5f5a232917071f05
DCS-2132L,A,1.02.00,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVA/DCS-2132L_FIRMWARE_1.02.00.ZIP,14114799,1422230400.0,a3906382598c29adfcfb9cb01e3d52ab05d1cc49,2e2f3f80534c9494c4cdff5bea71107f
DCS-2132L,A,1.00.06,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVA/DCS-2132L_FIRMWARE_1.00.06.ZIP,14962408,1422230400.0,67e6d8cd78c6950633121519f530d5d9c88a5b6b,541b6127a34c44f2848ff91e475d0839
DCS-2132L,A,1.01.10,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVA/DCS-2132L_FIRMWARE_1.01.10.ZIP,13839374,1378857600.0,d043d27d52c4526c55413ba9e4d242c3297edd55,7836a14a8d171e5754403246c6819b84
DCS-2132L,A,1.04.00,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVA/DCS-2132L_REVA_FIRMWARE_1.04.00.ZIP,15342971,1423699200.0,b5955ebbe11eef21375cca0386d649e7e51b2d3c,e1c848be4a40c7c6117121d49a0055cb
DCS-2132L,B,2.11.00,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-2132L/REVB/DCS-2132L_REVB_FIRMWARE_2.11.00.ZIP,15833613,1455235200.0,ec9e305337478e2d703132e6f54ad921b02b2043,d3d1a6b99d10aa0d3494a8734457961b
DCS-2132L,B,2.00.05,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVB/DCS-2132L_REVB_FIRMWARE_2.00.05.ZIP,14411588,1422230400.0,dabab50c0577a9a6c022dad71289d77fc47017d2,2b94ce252f3c1dae094ca7be7b050d93
DCS-2132L,B,2.10.11,ftp://FTP2.DLINK.COM/PRODUCTS/DCS-2132L/REVB/DCS-2132L_REVB_FIRMWARE_2.10.11.ZIP,15663616,1455235200.0,7efefa4f81ff57cd58b84190782b9e1f7d577897,9cc7312d7cff486dad39a4ebde53c15a
DCS-2132L,B,2.02.05,ftp://ftp2.dlink.com/PRODUCTS/DCS-2132L/REVB/DCS-2132L_REVB_FIRMWARE_2.02.05.ZIP,15468545,1424131200.0,fa37fef290e00d37f64bac7c05c158fbc420d2f5,8791fc11d0efb966c5d1d53c1fa0b29d
