model,hw_rev,fver,furl,fdate,fsize,sha1,md5
WET610N,1.0,1.0.06,http://downloads.linksys.com/downloads/firmware/1224639963664/FW_WES610N_WET610N_v1.0.06.007_20140318.bin,2014-10-28 18:59:09+00:00,2981296,ed3a86b64115ebb483a5ad76333ed51b8f7c8eaf,b87fad48da68f00ba264e4d170df4b16
WRT120N,1.0,1.0.07,http://downloads.linksys.com/downloads/firmware/1224646102739/FW_WRT120N_1.0.07.002_US.bin,2014-10-28 18:59:17+00:00,1251338,4b201e9169e86def877bb3c88958d05fe0124b80,26a71fdfeb87a6deb95a61cdb5fb09e8
WRT1200AC,1.0,1.0.5.177401,http://downloads.linksys.com/downloads/firmware/FW_WRT1200AC_1.0.5.177401_prod.img,2016-12-27 02:35:41+00:00,31719680,89fe31b2cb7a8291917d89c979e9c4b443480391,cd754627efb293f78a1604745a58ecdd
WRT160N,2.0,2.0.05,http://downloads.linksys.com/downloads/firmware/wrt160Nv2_2.0.05.002_20160818.bin,2016-09-14 06:28:22+00:00,3462144,61f1e34b61d19cb963c1c7aa3446934d857cf5d1,aa59e2eb70c62b45b02366eab9a75958
WRT1200AC,2.0,2.0.5.177097,http://downloads.linksys.com/downloads/firmware/FW_WRT1200ACV2_2.0.5.177097_prod.img,2016-12-08 00:59:35+00:00,31719680,f377a430306ffde0c66f97156142236a161b892d,a79a513e4bac785b3a4a91fb94060f8d
WRT160NL,1.0,1.0.04,http://downloads.linksys.com/downloads/firmware/FW_WRT160NL_1.0.04.002_US_20130619_code.bin,2014-10-28 18:59:41+00:00,6325248,81c06cefc1645e2915829d3e60d83fa165313df8,3813439030b9ae0f5db170147a7afa84
WRT1900AC,1.0,1.1.10.167514,http://cache-www.belkin.com/support/dl/FW_WRT1900AC_1.1.10.167514_prod.img,2015-07-08 02:18:08+00:00,26083584,567f17959bd4b43b7a34293be43a359126533799,fa01ee79d212cad071596e45aa7def98
WRT320N,1.0,1.0.05,http://downloads.linksys.com/downloads/firmware/FW_WRT320N_1.0.05.002_20110331.bin,2014-10-28 18:59:40+00:00,4944896,18afe010acf2a0dfc83b31073f44664021b6d1e8,596209f26bc123896da24a308a124a8b
WRT1900ACS,1.0,1.0.1.174588,http://downloads.linksys.com/downloads/firmware/FW_WRT1900ACS_1.0.1.174588_prod.img,2016-08-09 01:17:00+00:00,31588608,91d1985930aa6c7e3abd3f0ec66038bb3751806d,7d2a7ed3831c9fa6aa6de3c71b1921f4
WRT1900AC,2.0,2.0.7.167471,http://cache-www.belkin.com/support/dl/FW_WRT1900ACv2_2.0.7.167471_prod.img,2015-06-23 02:12:32+00:00,30540032,6026d786f8c0abbc20f8e55fd8c949575a432aac,97f4acde3ad7cd9178a78edcefe9aac4
WRT3200ACM,1.0,1.0.5.176416,http://downloads.linksys.com/downloads/firmware/FW_WRT3200ACM_1.0.5.176416_prod.img,2016-10-27 06:44:12+00:00,41156864,21aef9e6e7124a867841b16943a8c83ee7db2f0f,8a19b7299fed296d694592f272b11bdd
