model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME A2004NS-R,9.98.4,a2004sr_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004sr_kr_9_984.bin,2016-12-21 04:03:53+00:00,8241152,e37889d6ac276ee4d80be4fea1625919163faccd,b3b24a68d7b273a57904d894044f6cd2
ipTIME A2004ns,9.98.4,a2004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004ns_kr_9_984.bin,2016-12-21 04:03:54+00:00,7729152,521c3a99fc3bff70b0e27c699420320424be3181,7d0dda5f39865a20a4b1e4ed51ff0f6f
ipTIME A2004,9.98.4,a2004_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004_kr_9_984.bin,2016-12-21 04:03:52+00:00,3825664,0a811a47dc1467237ea7bcdc7eed5dd5e04bc0d1,ce1bc3d263b694c0064dd585c761a168
ipTIME A104r,9.98.4,a104r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a104r_kr_9_984.bin,2016-12-21 04:03:51+00:00,3497984,38cd9c4052ab7023567b00f8354000293be10f40,776219ebde4f8c3d55590c1a94a861ff
ipTIME A1,9.98.4,a1_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a1_kr_9_984.bin,2016-12-21 04:03:51+00:00,3497984,c4bf8435b5209528ac6f6499b43b98dc6fa63cee,49ebde4990e74d139c49b2f445a3f596
ipTIME A7NS,9.98.4,a7ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a7ns_kr_9_984.bin,2016-12-21 04:03:20+00:00,14811192,1c439885a0d9f083cb7335151d56675b6534fa2c,0741032660b20a396ba38df34d87fa3d
ipTIME A704NS-BCM,9.98.4,a704nb_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a704nb_kr_9_984.bin,2016-12-21 04:03:17+00:00,14524472,6da928aace9568ff45932cd024e5373afe854616,3c2381df1b1ecfee9eb44e2f05fdebe4
ipTIME A6004ns,9.98.4,a6004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a6004ns_kr_9_984.bin,2016-12-21 04:03:19+00:00,24301624,45aa721e16833c67559d79a41a9ac44ee7932d22,42b62d88eba8fe9e72901410de4ff7c3
ipTIME A5004ns,9.98.4,a5004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a5004ns_kr_9_984.bin,2016-12-21 04:03:15+00:00,24293432,3fdedac9034d490f8646ecde6628a6cd9f445150,9a5081b6741eb1ea213c3a3c69cb7b6b
ipTIME A3004NS-BCM,9.98.4,a3004nb_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3004nb_kr_9_984.bin,2016-12-21 04:03:12+00:00,15724600,922b13bd0e701e59c8c68fdf22143d4700028d6d,bb098ba01fa8cc163d5d1f907750d1e3
ipTIME A3004ns,9.98.4,a3004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3004ns_kr_9_984.bin,2016-12-21 04:03:15+00:00,8241208,4a958b2a94ff038380c07ab7a610c8eb5b040934,7fedc9abf84c238ff50c79dd61bedd29
ipTIME A3004,9.98.4,a3004_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a3004_kr_9_984.bin,2016-12-21 04:03:12+00:00,6291512,aea8a9ffa0652044b29689d41a6d3fe2797baf89,efd792759d01d6bfc2afe2b4b4c1207c
ipTIME N604Vplus,9.98.2,n604v_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604v_kr_9_982.bin,2016-12-14 06:26:20+00:00,2088960,e63bf4cfb034039db3abb5e0191b5858d13b4686,e3401109688d1db1068b8d5f59e9bdec
ipTIME N604V,9.98.2,n604v_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604v_kr_9_982.bin,2016-12-14 06:26:20+00:00,2088960,e63bf4cfb034039db3abb5e0191b5858d13b4686,e3401109688d1db1068b8d5f59e9bdec
ipTIME N604Rplus,9.98.2,n604r_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604r_kr_9_982.bin,2016-12-14 06:26:20+00:00,2080768,5360246e84655a12be6e1e78148d63c38a62b8bf,7ca3b6a0408dd6ed7682f1db3485edbc
ipTIME N604R,9.98.2,n604r_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604r_kr_9_982.bin,2016-12-14 06:26:20+00:00,2080768,5360246e84655a12be6e1e78148d63c38a62b8bf,7ca3b6a0408dd6ed7682f1db3485edbc
ipTIME N604plus,9.98.2,n604p_kr_9_982.bin,http://download.iptime.co.kr/online_upgrade/n604p_kr_9_982.bin,2016-12-14 06:26:19+00:00,2080768,0bf57a55581ca6c9814305f76e8a68c5bc0f12e9,f5ca48048b02a67ef1810f24dd9cd507
