model,rev,fw_ver,fw_url,date,fsize,sha1,md5
A,DCS-6210,1.05,ftp://ftp.dlink.ca/PRODUCTS/dcs-6210/DCS-6210_REVA_FIRMWARE_1.05.00.bin,2015-10-26 00:00:00,,e07292f59176253ce3a750a363f2b77019e95c04,906a4e332dc8b4049c8713900d36952c
B,DCS-6113,2.02.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-6113/DCS-6113_REVB_FIRMWARE_2.02.04.pkg,2015-10-15 00:00:00,,0bc6707267a2afe8775970e6f9c849b9a8c24f72,8cc85eb8bf47327054b77bade8d53819
A,DCS-6314,1.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-6314/DCS-6314_REVA_FIRMWARE_1.03.00.bin,2015-10-15 00:00:00,,5d174ccd1066ad0ac827ccd7e4cd9740d12553cb,483bc526eb55246bb1ffe6be9ea64720
ALL,DCS-6510,1.00,ftp://ftp.dlink.ca/PRODUCTS/DCS-6510/DCS-6510_FIRMWARE_1.00.BIN,2013-05-01 00:00:00,,c5e2872af787b9689ac5dcdbf99f9c6adeb3c11e,1a89d5af107b0aa0dedbee90ced4389a
ALL,DCS-6112,1.20,ftp://ftp.dlink.ca/PRODUCTS/DCS-6112/DCS-6112_REVA_FIRMWARE_1.20.RAR,2013-05-01 00:00:00,,71035a4f5627abd40f0ed3910557a4731fd2e968,c314a200b016445189d1802fbf3a5eca
ALL,DCS-6511,1.16,ftp://ftp.dlink.ca/PRODUCTS/DCS-6511/DCS-6511_REVA_FIRMWARE_1.16.bin,2015-10-15 00:00:00,,94cca925075611de6934b8c6539d1cd3c5223be4,f516b7bd699df46d04cdfaea508ee825
A,DCS-6513,1.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-6513/DCS-6513_REVA_FIRMWARE_1.04.00.bin,2015-10-16 00:00:00,,c8d8cc566ea68c66f8d8992e151e53d5d2d48809,5084de6cb38665d03919a7f5f84dd210
A,DCS-6113,1.20,ftp://ftp.dlink.ca/PRODUCTS/DCS-6113/DCS-6113_REVA_FIRMWARE_1.20.RAR,2013-05-01 00:00:00,,71035a4f5627abd40f0ed3910557a4731fd2e968,c314a200b016445189d1802fbf3a5eca
A,DCS-6517,1.10.01,ftp://ftp.dlink.ca/PRODUCTS/DCS-6517/DCS-6517_REVA_FIRMWARE_1.10.01_WW.ZIP,2016-06-16 00:00:00,,b60189f56d9d3bf498b3a15aebcfe3954395bc29,efe3fe8bdf6187d6e8befdb760b85485
ALL,DCS-6620G,1.05,ftp://ftp.dlink.ca/PRODUCTS/DCS-6620G/DCS-6620G_FIRMWARE_1.05.PKG,2013-05-01 00:00:00,,1f91ce4f3160c27cef3f231ca468462945f9abf6,25590378c5b6ef59bb4db7ae96b810ce
