model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
MBRN3000,1.0.0.74,MBRN3000-V1.0.0.74_2.0.12WW.zip,http://www.downloads.netgear.com/files/GDC/MBRN3000/MBRN3000-V1.0.0.74_2.0.12WW.zip,2013-02-13 02:31:38+00:00,5188449,384ea4e6e1e2532145ec8d5f27c306e1c8349ccb,8d6f037162ec6dfb8f41e38b4e8b5af8
MBRN3000,1.0.0.65,MBRN3000 Firmware Version 1.0.0.65_2.0.12 (NA).zip,http://www.downloads.netgear.com/files/GDC/MBRN3000/MBRN3000 Firmware Version 1.0.0.65_2.0.12 (NA).zip,2011-12-07 13:18:51+00:00,5338756,f582738db7bec916b9f39c42992892ff67144481,3c0cbe4717326054b5662fba43c88c0d
MBRN3000,1.0.0.69,MBRN3000 Firmware Version 1.0.0.69 (NA).zip,http://www.downloads.netgear.com/files/GDC/MBRN3000/MBRN3000 Firmware Version 1.0.0.69 (NA).zip,2011-12-07 13:14:41+00:00,5319567,6562acd2fa0e8c2520dddfeeafedf8383440fddc,cc0a8153271b75633b16f56eaf8e3313
MVBR1210C,1.2.0.35,MVBR1210C_V1.2.0.35BM.zip,http://www.downloads.netgear.com/files/GDC/MVBR1210C/MVBR1210C_V1.2.0.35BM.zip,2014-07-09 11:24:05+00:00,6456861,83baf2d851039bc316ab314785dfefcbf71e9ce9,415857c5606589dd03a99650f33c478e
AirCard 754S (AT&T),,BZ43561_1101268_9900803_SWI9200H_03.05.09.06_ATT_001.024_000.exe,http://www.downloads.netgear.com/files/aircard/BZ43561_1101268_9900803_SWI9200H_03.05.09.06_ATT_001.024_000.exe,2013-03-25 18:47:17+00:00,18203104,7fb27bc3264a7d736e71a3ee179ed08e014347cc,5262b96a363f1bba0343fe5058d4483e
R7100LG,1.0.0.24,R7100LG_V1.0.0.24_1.0.6.zip,http://www.downloads.netgear.com/files/GDC/R7100LG/R7100LG_V1.0.0.24_1.0.6.zip,2016-06-27 08:38:00+00:00,67066211,dad1775d79b0bb43078ca4c718b93beda695cdcf,d2f68c94e00e84dc2805fda3f09c3446
AirCard 760S (BigPond),03.05.14.06,SWI9200H2_03.05.14.06_00_BigPond_NVUP_OCT_PRI2.4.exe,http://www.downloads.netgear.com/files/aircard/AC760S/SWI9200H2_03.05.14.06_00_BigPond_NVUP_OCT_PRI2.4.exe,2013-08-23 04:29:46+00:00,20266648,861f18220ca8e2e59f1448b9a672c5165df3bbf2,5ada26871ef380f202c697bc7e8c7ffb
AirCard 760S (BigPond),03.05.14.06,AC760S_BP_03.05.14.06.zip,http://www.downloads.netgear.com/files/aircard/AC760S/AC760S_BP_03.05.14.06.zip,2013-08-23 04:26:55+00:00,25308885,63f4a74fecb450e0c0b24c442e2bcefb9e3b9935,a8c94578a12a3e82d5ac5747f2efd1be
AirCard 760S (Telstra),03.05.14.06,AC760S_TMB_03.05.14.06.zip,http://www.downloads.netgear.com/files/aircard/AC760S/AC760S_TMB_03.05.14.06.zip,2013-08-23 04:26:46+00:00,21021480,ceccec9328477f099ba4ae583146ffccf1041fb1,8bfc61162cf191e00245dce92dc85083
AirCard 760S (Telstra),03.05.14.06,SWI9200H2_03.05.14.06_00_Telstra_NVUP_OCT_PRI2.4.exe,http://www.downloads.netgear.com/files/aircard/AC760S/SWI9200H2_03.05.14.06_00_Telstra_NVUP_OCT_PRI2.4.exe,2013-08-23 04:29:41+00:00,17697800,b6568e8973a6632d9485cebdd2261e13499fc412,15025a6cddf39ff2f26099dbae51dbf1
AirCard 771S (Sprint),,1101842_9902460_NTG9X15C_45.04.12.05_00_SPRINT_000.052_001-field.exe,http://www.downloads.netgear.com/files/aircard/1101842_9902460_NTG9X15C_45.04.12.05_00_SPRINT_000.052_001-field.exe,2014-05-07 04:00:00+00:00,56216560,ae6dd12b737ae89c2f35c88bfa4517bcafa10e52,bc8844415d9ddf7c183505c4b23e62c9
AirCard Hub,1.0.95.1,swi_nhd1w_1.0.95.1.zip,http://www.downloads.netgear.com/files/aircard/swi_nhd1w_1.0.95.1.zip,2013-06-06 12:16:24+00:00,11128339,374e72d1a51a7477edc47297b13bcc6f81cc5502,82fddfa52ac3af6144022abf13d22b25
AirCard Hub,1.0.95.0,Hub_swi_nhd1w_1.0.95.0.zip,http://www.downloads.netgear.com/files/aircard/Hub_swi_nhd1w_1.0.95.0.zip,2013-04-18 14:55:41+00:00,10879786,ae3034447fd1d7da18f9cd1d1d7a8ea1e6e7d836,42063be857f2f5733579c59f5906e3f5
AirCard 305U (AT&T),,22909,http://kb.netgear.com/app/answers/detail/a_id/22909,,557,926d7663d03eeea7e82c2ee979422a8e1c0b5d7a,13337649f202be0664d5ad544823d56b
AirCard 301U (Telstra),,K2_0_7_6BT_K2_0_7_8BAP_EnableDirectIP.exe,http://www.downloads.netgear.com/files/aircard/K2_0_7_6BT_K2_0_7_8BAP_EnableDirectIP.exe,2013-03-25 18:48:28+00:00,9359368,2804661210679fc9e6afef9eb692855962e1085b,c213975b7205a6bcbd8bceb601029ee7
AirCard 305U (AT&T),2.0.0.11,Firmware_I2_0_0_11.zip,http://www.downloads.netgear.com/files/aircard/Firmware_I2_0_0_11.zip,2013-05-05 03:59:05+00:00,6581156,a1a5137f1a8118822625c5a0d5ae68029e598a37,5c7b349be2f3b528c5a1afdade260871
AirCard 305U (AT&T),2.0.0.11,Firmware_I2.0.0.11.zip,http://www.downloads.netgear.com/files/aircard/Firmware_I2.0.0.11.zip,2013-05-05 03:59:05+00:00,5885917,3757af14be05137ef44cea520bcc5f46a2fb96c7,082e8b6e9749432aa13f03ec6a4fe126
AirCard 301U (all others),,K2_0_7_18BT_K2_0_7_19AP_dip.exe,http://www.downloads.netgear.com/files/aircard/K2_0_7_18BT_K2_0_7_19AP_dip.exe,2013-03-25 18:48:24+00:00,9414936,9dbfed65b61d3165b942ea97f723b5bbf4bc2aea,e1d9fc8159eaaad32182655905f78866
AirCard 307U (all others),,M2_0_11_16BT-M2_0_11_21AP.exe,http://www.downloads.netgear.com/files/aircard/M2_0_11_16BT-M2_0_11_21AP.exe,2013-07-28 06:04:12+00:00,8993512,2113a993b87ecaef29da0c34120ea0af57c47831,2baf319da283f1d6d5465b618384220d
AirCard 306U (Telus),,M2_0_11_4BT-M2_0_11_10AP.exe,http://www.downloads.netgear.com/files/aircard/M2_0_11_4BT-M2_0_11_10AP.exe,2013-03-25 18:48:49+00:00,9208216,c50550e9d1d165c3442eaf50d0f0542b4093c8c9,147902f54373d2f21370638942496134
AirCard 307U (Movistar),,M2_0_9_0bt-M2_0_9_3ap.exe,http://www.downloads.netgear.com/files/aircard/M2_0_9_0bt-M2_0_9_3ap.exe,2013-03-25 18:48:55+00:00,9150480,0a25be754b97bb29fdf9da08a9790ba936be4f88,2f6b174ed642653fe659b4a42219c555
AirCard 801S (Sprint),02.23.01,W801_789876_02-23-01.bin,http://www.downloads.netgear.com/files/aircard/W801_789876_02-23-01.bin,2013-03-25 18:50:32+00:00,38427322,313f2e6163e0f3fca03d45a194593bbdee4367a9,bef583d78ab93d7048543d3da9432e7d
AirCard 803S (Sprint),01.13.00,AC803S_1780690_01.13.00_032.field.zip,http://www.downloads.netgear.com/files/aircard/AC803S_1780690_01.13.00_032.field.zip,2013-04-03 01:52:11+00:00,51137465,21af6de3722803a430d24813fc833e3b52fd575c,458acba4325cda5c3a08432acb5eda2f
AirCard 306U (Telus),2.0.11.10,M2_0_11_10ap.zip,http://www.downloads.netgear.com/files/aircard/M2_0_11_10ap.zip,2013-07-28 06:24:49+00:00,9804799,a8cd2e58a990b700e57b76842fef1c6a89ca93e9,36f86b17e2ceab310207314e7220642f
AirCard 790S (Zain),11.02.03.01,AC790S-1Z1MES_1244504_NTG9X35C_11.02.03.01_00_Zain_001.008_000-field.exe,http://www.downloads.netgear.com/files/aircard/AC790S_Zain/AC790S-1Z1MES_1244504_NTG9X35C_11.02.03.01_00_Zain_001.008_000-field.exe,2015-04-07 06:39:08+00:00,80192672,0b740690bd9c276544d022a6431466408ab43a4b,6f983376ff98f4630bb3882b87121579
AirCard 308U (Telstra),,M3_0_9_0BT-M3_0_9_0AP.exe,http://www.downloads.netgear.com/files/aircard/M3_0_9_0BT-M3_0_9_0AP.exe,2013-03-25 18:49:06+00:00,9039464,47acdcc863e1c438c6f4070743ed2b8f33ad1f7b,214450bee90f8fc8f445c589daa040f7
